รหัสจังหวัด,จังหวัด,เขต,หมายเลข,พรรค,คะแนน
10.0,กรุงเทพมหานคร,2.0,57.0,พลังไทยรักชาติ,17.0
10.0,กรุงเทพมหานคร,3.0,1.0,ไทยทรัพย์ทวี,0.0
10.0,กรุงเทพมหานคร,3.0,2.0,เพื่อชาติไทย,31.0
10.0,กรุงเทพมหานคร,3.0,3.0,ใหม่,0.0
10.0,กรุงเทพมหานคร,3.0,4.0,มิติใหม่,376.0
10.0,กรุงเทพมหานคร,3.0,5.0,รวมใจไทย,149.0
10.0,กรุงเทพมหานคร,3.0,6.0,รวมไทยสร้างชาติ,48.0
10.0,กรุงเทพมหานคร,3.0,7.0,พลวัต,112.0
10.0,กรุงเทพมหานคร,3.0,8.0,ประชาธิปไตยใหม่,1613.0
10.0,กรุงเทพมหานคร,3.0,9.0,เพื่อไทย,101.0
10.0,กรุงเทพมหานคร,3.0,10.0,ทางเลือกใหม่,274.0
10.0,กรุงเทพมหานคร,3.0,11.0,เศรษฐกิจ,5700.0
10.0,กรุงเทพมหานคร,3.0,12.0,เสรีรวมไทย,246.0
10.0,กรุงเทพมหานคร,3.0,13.0,รวมพลังประชาชาติ,1304.0
10.0,กรุงเทพมหานคร,3.0,14.0,ท้องที่ไทย,424.0
10.0,กรุงเทพมหานคร,3.0,15.0,อนาคตไทย,200.0
10.0,กรุงเทพมหานคร,3.0,16.0,พลังเพื่อไทย,10.0
10.0,กรุงเทพมหานคร,3.0,17.0,ไทยชนะ,34.0
10.0,กรุงเทพมหานคร,3.0,18.0,พลังสังคมใหม่,38.0
10.0,กรุงเทพมหานคร,3.0,19.0,สังคมประชาธิปไตย,33.0
10.0,กรุงเทพมหานคร,3.0,20.0,ฟิวชั่น,6.0
10.0,กรุงเทพมหานคร,3.0,21.0,ไทยรวมพลัง,19.0
10.0,กรุงเทพมหานคร,3.0,22.0,ก้าวอิสระ,15.0
10.0,กรุงเทพมหานคร,3.0,23.0,ปวงชนไทย,23.0
10.0,กรุงเทพมหานคร,3.0,24.0,วิชั่นใหม่,31.0
10.0,กรุงเทพมหานคร,3.0,25.0,เพื่อชีวิตใหม่,39.0
10.0,กรุงเทพมหานคร,3.0,26.0,คลองไทย,16.0
10.0,กรุงเทพมหานคร,3.0,27.0,ประชาธิปัตย์,10.0
10.0,กรุงเทพมหานคร,3.0,28.0,ไทยก้าวหน้า,33.0
10.0,กรุงเทพมหานคร,3.0,29.0,ไทยภักดี,12667.0
10.0,กรุงเทพมหานคร,3.0,30.0,แรงงานสร้างชาติ,60.0
10.0,กรุงเทพมหานคร,3.0,31.0,ประชากรไทย,1669.0
10.0,กรุงเทพมหานคร,3.0,32.0,ครูไทยเพื่อประชาชน,13.0
10.0,กรุงเทพมหานคร,3.0,33.0,ประชาชาติ,35.0
10.0,กรุงเทพมหานคร,3.0,34.0,สร้างอนาคตไทย,21.0
10.0,กรุงเทพมหานคร,3.0,35.0,รักชาติ,68.0
10.0,กรุงเทพมหานคร,3.0,36.0,ไทยพร้อม,20.0
10.0,กรุงเทพมหานคร,3.0,37.0,ภูมิใจไทย,118.0
10.0,กรุงเทพมหานคร,3.0,38.0,พลังธรรมใหม่,42.0
10.0,กรุงเทพมหานคร,3.0,39.0,กรีน,15604.0
10.0,กรุงเทพมหานคร,3.0,40.0,ไทยธรรม,39.0
10.0,กรุงเทพมหานคร,3.0,41.0,แผ่นดินธรรม,64.0
10.0,กรุงเทพมหานคร,3.0,42.0,กล้าธรรม,7.0
10.0,กรุงเทพมหานคร,3.0,43.0,พลังประชารัฐ,10.0
10.0,กรุงเทพมหานคร,3.0,44.0,โอกาสใหม่,153.0
10.0,กรุงเทพมหานคร,3.0,45.0,เป็นธรรม,83.0
10.0,กรุงเทพมหานคร,3.0,46.0,ประชาชน,44.0
10.0,กรุงเทพมหานคร,3.0,47.0,ประชาไทย,44.0
10.0,กรุงเทพมหานคร,3.0,48.0,ไทยสร้างไทย,35819.0
10.0,กรุงเทพมหานคร,3.0,49.0,ไทยก้าวใหม่,89.0
10.0,กรุงเทพมหานคร,3.0,50.0,ประชาอาสาชาติ,583.0
10.0,กรุงเทพมหานคร,3.0,51.0,พร้อม,618.0
10.0,กรุงเทพมหานคร,3.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,1.0
10.0,กรุงเทพมหานคร,3.0,53.0,ไทยพิทักษ์ธรรม,24.0
10.0,กรุงเทพมหานคร,3.0,54.0,ความหวังใหม่,7.0
10.0,กรุงเทพมหานคร,3.0,55.0,ไทยรวมไทย,10.0
10.0,กรุงเทพมหานคร,3.0,56.0,เพื่อบ้านเมือง,6.0
10.0,กรุงเทพมหานคร,3.0,57.0,พลังไทยรักชาติ,8.0
10.0,กรุงเทพมหานคร,4.0,1.0,ไทยทรัพย์ทวี,353.0
10.0,กรุงเทพมหานคร,4.0,2.0,เพื่อชาติไทย,306.0
10.0,กรุงเทพมหานคร,4.0,3.0,ใหม่,54.0
10.0,กรุงเทพมหานคร,4.0,4.0,มิติใหม่,88.0
10.0,กรุงเทพมหานคร,4.0,5.0,รวมใจไทย,101.0
10.0,กรุงเทพมหานคร,4.0,6.0,รวมไทยสร้างชาติ,1674.0
10.0,กรุงเทพมหานคร,4.0,7.0,พลวัต,74.0
10.0,กรุงเทพมหานคร,4.0,8.0,ประชาธิปไตยใหม่,268.0
10.0,กรุงเทพมหานคร,4.0,9.0,เพื่อไทย,5499.0
10.0,กรุงเทพมหานคร,4.0,10.0,ทางเลือกใหม่,298.0
10.0,กรุงเทพมหานคร,4.0,11.0,เศรษฐกิจ,1399.0
10.0,กรุงเทพมหานคร,4.0,12.0,เสรีรวมไทย,365.0
10.0,กรุงเทพมหานคร,4.0,13.0,รวมพลังประชาชาติ,186.0
10.0,กรุงเทพมหานคร,4.0,14.0,ท้องที่ไทย,12.0
10.0,กรุงเทพมหานคร,4.0,15.0,อนาคตไทย,48.0
10.0,กรุงเทพมหานคร,4.0,16.0,พลังเพื่อไทย,44.0
10.0,กรุงเทพมหานคร,4.0,17.0,ไทยชนะ,39.0
10.0,กรุงเทพมหานคร,4.0,18.0,พลังสังคมใหม่,4.0
10.0,กรุงเทพมหานคร,4.0,19.0,สังคมประชาธิปไตย,12.0
10.0,กรุงเทพมหานคร,4.0,20.0,ฟิวชั่น,13.0
10.0,กรุงเทพมหานคร,4.0,21.0,ไทยรวมพลัง,35.0
10.0,กรุงเทพมหานคร,4.0,22.0,ก้าวอิสระ,6.0
10.0,กรุงเทพมหานคร,4.0,23.0,ปวงชนไทย,50.0
10.0,กรุงเทพมหานคร,4.0,24.0,วิชั่นใหม่,42.0
10.0,กรุงเทพมหานคร,4.0,25.0,เพื่อชีวิตใหม่,12.0
10.0,กรุงเทพมหานคร,4.0,26.0,คลองไทย,40.0
10.0,กรุงเทพมหานคร,4.0,27.0,ประชาธิปัตย์,11540.0
10.0,กรุงเทพมหานคร,4.0,28.0,ไทยก้าวหน้า,53.0
10.0,กรุงเทพมหานคร,4.0,29.0,ไทยภักดี,1480.0
10.0,กรุงเทพมหานคร,4.0,30.0,แรงงานสร้างชาติ,27.0
10.0,กรุงเทพมหานคร,4.0,31.0,ประชากรไทย,39.0
