รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
20,ชลบุรี,2,นางสาววรรณิดา นพสิทธิ์,ประชาชน,30061,78825,113941.0,84051
20,ชลบุรี,3,ร้อยตำรวจเอก สิทธิพัฒน์ ภาวสุทธิ์,ภูมิใจไทย,42501,90301,127143.0,98529
20,ชลบุรี,4,นายจิรวุฒิ สิงห์โตทอง,ภูมิใจไทย,45751,80770,120267.0,88809
20,ชลบุรี,5,นายอนันต์ ปรีดาสุทธิจิตต์,ภูมิใจไทย,52767,95514,134987.0,103979
20,ชลบุรี,6,นางนฤมาศ เปี่ยมบัณฑิต,ประชาชน,41248,89423,138584.0,96545
20,ชลบุรี,7,นายสหัสวัต คุมคง,ประชาชน,39986,82754,127875.0,88767
20,ชลบุรี,8,นายเชาวลิตร แสงอุทัย,ภูมิใจไทย,37623,86994,140456.0,94308
20,ชลบุรี,9,นายยอดชาย พึ่งพร,ประชาชน,27602,62409,122755.0,69180
20,ชลบุรี,10,นายธนาธาร ประมูลพงษ์,ประชาชน,27129,82457,134698.0,89099
21,ระยอง,1,นางสาวกมนทรรศน์ กิตติสุนทรสกุล,ประชาชน,36934,85091,121750.0,91421
21,ระยอง,2,นายกฤช ศิลปชัย,ประชาชน,33687,68551,116650.0,77741
21,ระยอง,3,นายพศิน ปิตุเตชะ,ประชาธิปัตย์,26873,76463,124375.0,85323
21,ระยอง,4,นายฉัตรชัย ปิตุเตชะ,ภูมิใจไทย,46134,87526,129478.0,94724
21,ระยอง,5,นายวัชรพงษ์ ศิริรักษ์,ประชาชน,37569,81289,129572.0,89547
22,จันทบุรี,1,พลตำรวจโท สุรพล วิรัตน์โยสินทร์,ภูมิใจไทย,32984,100866,148036.0,110531
22,จันทบุรี,2,นายคัมภีร์ ชื่นบาน,ภูมิใจไทย,39979,91807,142477.0,102880
22,จันทบุรี,3,นายชรัตน์ เนรัญชร,ภูมิใจไทย,31798,91176,142294.0,101001
23,ตราด,1,นายพิชานนท์ อิงประสาร,ภูมิใจไทย,66399,115576,176946.0,125215
24,ฉะเชิงเทรา,1,นางฐิติมา ฉายแสง,เพื่อไทย,38717,96004,146676.0,110016
24,ฉะเชิงเทรา,2,นายอรรถกร ศิริลัทธยากร,กล้าธรรม,50833,109828,142226.0,118518
24,ฉะเชิงเทรา,3,นายชัยวัฒน์ เป้าเปี่ยมทรัพย์,กล้าธรรม,52758,93753,145910.0,104600
24,ฉะเชิงเทรา,4,จ่าเอก ยศสิงห์ เหลี่ยมเลิศ,กล้าธรรม,47969,112107,154572.0,122283
25,ปราจีนบุรี,1,นายอำนาจ วิลาวัลย์,ภูมิใจไทย,42309,82923,129363.0,94811
25,ปราจีนบุรี,3,นายสฤษดิ์ บุตรเนียร,ภูมิใจไทย,45193,84347,132022.0,93849
26,นครนายก,1,นายปิยวัฒน์ กิตติธเนศวร,กล้าธรรม,33707,76781,104054.0,82830
26,นครนายก,2,นายเกรียงไกร กิตติธเนศวร,ภูมิใจไทย,34897,80797,108945.0,87699
27,สระแก้ว,1,นายบดี เทียนทอง,พลังประชารัฐ,56083,89613,147502.0,97584
27,สระแก้ว,2,นางสาวตรีนุช เทียนทอง,พลังประชารัฐ,60370,89351,145146.0,97464
27,สระแก้ว,3,นายสุรศักดิ์ ชิงนวรรณ์,กล้าธรรม,38812,92868,151072.0,101937
30,นครราชสีมา,1,นายฉัตร สุภัทรวณิชย์,ประชาชน,32534,80985,128270.0,90557
30,นครราชสีมา,2,นายวัชรพล โตมรศักดิ์,เพื่อไทย,39980,96710,141226.0,105850
30,นครราชสีมา,3,นายศุทธสิทธิ์ พจน์ฐศักดิ์,ประชาชน,37699,92622,136554.0,102530
30,นครราชสีมา,4,นางสาวณัฐจิรา อิ่มวิเศษ,เพื่อไทย,34719,84302,131759.0,93980
30,นครราชสีมา,5,นายสมเกียรติ ตันดิลกตระกูล,เพื่อไทย,38845,87644,133508.0,95129
30,นครราชสีมา,6,นางพัชราวรรณ ภิญโญ,เพื่อไทย,27973,81811,133507.0,85762
30,นครราชสีมา,7,นางสาวปิยะนุช ยินดีสุข,เพื่อไทย,40228,76958,136725.0,81993
30,นครราชสีมา,8,นายนิกร โสมกลาง,เพื่อไทย,51840,79521,133816.0,88226
30,นครราชสีมา,9,นายพลพีร์ สุวรรณฉวี,ภูมิใจไทย,41235,87655,135762.0,92485
30,นครราชสีมา,10,นายบุญจง วงศ์ไตรรัตน์,ภูมิใจไทย,43185,104308,138131.0,112031
30,นครราชสีมา,11,นายอาทิตย์ หวังศุภกิจโกศล,เพื่อไทย,53069,85016,132159.0,93602
30,นครราชสีมา,12,นายนรเสฏฐ์ ศิริโรจนกุล,เพื่อไทย,47794,86006,132388.0,94858
30,นครราชสีมา,13,นายพชร จันทรรวงทอง,เพื่อไทย,28157,66505,130106.0,78490
30,นครราชสีมา,14,นายหนึ่ง ขัติยะนนท์,ประชาชน,29003,73189,130744.0,83594
30,นครราชสีมา,15,นายรชตะ ด่านกุล,เพื่อไทย,37242,95199,138615.0,99862
30,นครราชสีมา,16,นายตติรัฐ รัตนเศรษฐ,ภูมิใจไทย,32139,83999,136002.0,89343
31,บุรีรัมย์,1,นายสนอง เทพอักษรณรงค์,ภูมิใจไทย,57074,78889,125326.0,86182
31,บุรีรัมย์,2,นางสาวณัฐธิดา เล็กอุดากร,ภูมิใจไทย,56479,75055,127640.0,81656
31,บุรีรัมย์,3,นายอดิพงษ์ ฐิติพิทยา,ภูมิใจไทย,56210,72175,125637.0,77430
31,บุรีรัมย์,4,นายชนกันต์ ทิมาตฤกะ,ภูมิใจไทย,51536,69445,121519.0,74514
31,บุรีรัมย์,5,นายโสภณ ซารัมย์,ภูมิใจไทย,53732,76650,131438.0,82315
31,บุรีรัมย์,6,นายศักดิ์ ซารัมย์,ภูมิใจไทย,51523,73608,130776.0,79738
31,บุรีรัมย์,7,นายพรชัย ศรีสุริยันโยธิน,ภูมิใจไทย,45919,74537,122067.0,80097
31,บุรีรัมย์,8,นายไตรเทพ งามกมล,ภูมิใจไทย,53217,78428,126957.0,85265
31,บุรีรัมย์,9,นายรุ่งโรจน์ ทองศรี,ภูมิใจไทย,57197,73695,127988.0,79746
31,บุรีรัมย์,10,นายจักรกฤษณ์ ทองศรี,ภูมิใจไทย,52091,69176,121304.0,74757
32,สุรินทร์,1,นางสาวเบญญา มุ่งเจริญพร,ภูมิใจไทย,46167,85981,136098.0,94060
32,สุรินทร์,2,นายณัฏฐพล จรัสรพีพงษ์,ภูมิใจไทย,53228,89433,140119.0,95003
32,สุรินทร์,3,นางสาวผกามาศ เจริญพันธ์,ภูมิใจไทย,50333,79639,137349.0,84655
32,สุรินทร์,4,นางสาวสุรีย์ ธัมมาตร,ภูมิใจไทย,44913,80530,139651.0,85085
32,สุรินทร์,5,นายภุชงค์ สุภัควรางกูร,ภูมิใจไทย,41671,79444,135454.0,82574
32,สุรินทร์,6,นายล้ำเลิศ พัวพัฒนโชติ,ภูมิใจไทย,52005,76550,133978.0,81526
32,สุรินทร์,7,นายเรืองวิทย์ คูณวัฒนาพงษ์,ภูมิใจไทย,43239,84840,136450.0,91439
32,สุรินทร์,8,นางปทิดา ตันติรัตนานนท์,ภูมิใจไทย,52673,78919,136843.0,85240
33,ศรีสะเกษ,1,นายสิริพงศ์ อังคสกุลเกียรติ,ภูมิใจไทย,53220,94666,132927.0,98770
33,ศรีสะเกษ,2,นายศุภกิจ สีหาภาค,ภูมิใจไทย,35712,80721,128729.0,85060
33,ศรีสะเกษ,3,นายธนา กิจไพบูลย์ชัย,ภูมิใจไทย,51942,76586,128022.0,82061
33,ศรีสะเกษ,4,นายชิตพล ไตรสรณกุล,ภูมิใจไทย,43534,77864,122479.0,82768
33,ศรีสะเกษ,5,นางสาวจินณ์ตวรรณ ไตรสรณกุล,ภูมิใจไทย,39108,79671,127679.0,85062
33,ศรีสะเกษ,6,นายวีระพล จิตสัมฤทธิ์,เพื่อไทย,31345,79063,128551.0,83911
33,ศรีสะเกษ,7,นางสาววิลดา อินฉัตร,เพื่อไทย,36190,78631,126857.0,84203
33,ศรีสะเกษ,8,นายอาสพลธ์ สรรณ์ไตรภพ,ภูมิใจไทย,59873,84175,133124.0,89354
33,ศรีสะเกษ,9,นายวิทวัส ไตรสรณกุล,ภูมิใจไทย,39667,88566,139255.0,93002
34,อุบลราชธานี,1,นายวรสิทธิ์ กัลป์ตินันท์,เพื่อไทย,32328,87991,132480.0,99448
34,อุบลราชธานี,2,นายณรงค์ชัย วีระกุล,ไทรวมพลัง,36198,91206,136569.0,97134
34,อุบลราชธานี,3,นางพิมพกาญจน์ พลสมัคร,ไทรวมพลัง,43632,86097,139753.0,93751
34,อุบลราชธานี,4,นางสาวกิตติ์ธัญญา วาจาดี,เพื่อไทย,37794,100779,150321.0,112955
34,อุบลราชธานี,5,นายสุทธิชัย จรูญเนตร,ภูมิใจไทย,52151,80991,131064.0,86404
34,อุบลราชธานี,6,นางสาวธัญธารีย์ สันตพันธุ์,เพื่อไทย,33345,78144,132010.0,83930
34,อุบลราชธานี,7,นางสาวสุดารัตน์ พิทักษ์พรพัลลภ,ภูมิใจไทย,45003,87014,131259.0,90567
34,อุบลราชธานี,8,นางสาวแนน บุณย์ธิดา สมชัย,ภูมิใจไทย,36651,87156,137335.0,92164
34,อุบลราชธานี,9,นางจิตรวรรณ หวังศุภกิจโกศล,ไทรวมพลัง,42832,78470,130179.0,83647
